username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Los Angeles Times,16664681,"El Segundo, CA",2023-01-22 23:45:00,"Op-Ed: There's one big climate fight that California is losing (via @latimesopinion) 

https://t.co/Lw1gjwMPFg",1,SocialNewsDesk,
DYLΛN,68521458,"Venice, Los Angeles",2023-01-22 23:35:29,"Elite flying military type talking primates training for Ukraine in the UK for dog fight incursions.

Thankfully th… https://t.co/piZra5cFrq",0,Twitter for iPad,
The Hollywood Scene,810201345802145792,"Hollywood, Los Angeles",2023-01-22 22:58:33,@gridnews Don’t forget to always blame white supremacy and climate change too.,0,Twitter for iPhone,
Deckert Cain 💜,1381761170286145537,Los Angeles,2023-01-22 22:50:50,@WENDY200111 @JustStop_Oil @GretaThunberg I can see why you think that. I suggest you do some homework on climate change.,0,Twitter for iPhone,
Matthew E. Kahn,868389662,"Los Angeles, CA",2023-01-22 22:30:25,The new economics of climate change adaptation must seek to teach the public about how our diversity has implicatio… https://t.co/steijYmqOP,0,Twitter Web App,
Mr. Christopher Jennings,901744904249978881,"GREATER LOS ANGELES, CA",2023-01-22 21:53:45,A kid's guide to climate change (plus a printable comic) https://t.co/aVTSoKovGk,0,Twitter for Android,
LivingInCA,880517170945441796,"Los Angeles, CA",2023-01-22 21:18:27,"@brendan_galway @GeraldKutney No, not every issue is because of climate change, as seems to be the inclination these days.",0,Twitter Web App,
Gary Hall,273059145,"Los Angeles, CA",2023-01-22 21:12:44,@NWSSacramento That little lake just to the south (and tributary to it) of Lake Tahoe is Falling Leaf Lake. Much to… https://t.co/0SxsQo1wzO,0,Twitter Web App,
Gary Hall,273059145,"Los Angeles, CA",2023-01-22 21:07:13,"@ChrisMartzWX @HTSpencer1972

""that proves climate change is false.""

1st of all, did you intend to say climate cha… https://t.co/Xqu1XsqUZK",0,Twitter Web App,
Paul Duginski,2365158265,"Los Angeles, CA",2023-01-22 20:58:26,"I contributed  a few graphics to the latest installment of ""Repowering the West,"" by @Sammy_Roth, in print in Sunda… https://t.co/Nm66gP8s4N",1,Twitter Web App,
Greatinvestments,1477736477144625155,"Los Angeles, CA",2023-01-22 20:17:51,"@CP24 It’s climate change. Warm weather=climate chance, cold weather=climate change, tempered weather= climate change",0,Twitter for iPhone,
citygal340,1593773256133120001,"Los Angeles, CA",2023-01-22 19:49:55,@prodigalcipher @aquaimperium8 Nope. Climate change is due to overconsumption not overpopulation,0,Twitter for iPhone,
Curtis Spyro,1534870262679748609,"Los Angeles, CA",2023-01-22 19:45:01,Extra Dust in the Atmosphere Could Be Hiding the True Effects of Climate Change - Gizmodo https://t.co/iBkJ8oJvcQ… https://t.co/dwDlxQgedO,0,Buffer,
PhilAnthonyRodriguez,320400600,"Los Angeles, CA",2023-01-22 19:04:04,"@FoxNews What an asinine article. Poor, shortsighted “insight” on climate change and Mr.Gore’s so called, “predicti… https://t.co/5ZnWVlDNj6",0,Twitter for iPhone,
HollywoodVineGroup▲,350596445,"Hollywood, CA",2023-01-22 18:57:04,Mass Migration isn't happening due to weather and Climate Change.  It is happening due to George Soros and the Glob… https://t.co/A2QWhBXK0M,0,Twitter Web App,
Oskaloosa01,748416848425738240,"Los Angeles, California",2023-01-22 18:25:55,Harry and Meghan’s new Range Rover spotted despite net zero pledge https://t.co/92vgLwRWvg,0,Twitter for iPhone,
Derek BB,4847366217,"Los Angeles, CA",2023-01-22 18:24:47,@shoutingboy @BruinAz @AGHamilton29 Killing off fossil fuels with no viable alternative is going to result in the d… https://t.co/6HAglChn0l,0,Twitter for iPhone,
Grover Dill 🏴‍☠️,4084596854,"Los Angeles, CA",2023-01-22 18:16:45,"@TIME At some point,  all but the most fanatical climate change people have to roll their eyes at this clap trap, right?",0,Twitter for iPhone,
𝖆,1312759536,"Los Angeles, CA",2023-01-22 17:54:01,"i mean, any view. climate change? not that bad. covid vax? he got a fake card. abortion rights? told me if i ever g… https://t.co/IlEHq4EMA7",0,Twitter for iPhone,
Patricia Maginnis,1522027954477314048,Los Angeles,2023-01-22 17:44:29,"@MLS_Dave And like COVID, climate change impacts under-resourced communities the most.",0,Twitter Web App,
Answering365,1418709801358356482,"Los Angeles, CA",2023-01-22 17:17:12,"A vast belt of trees vital for global production of fizzy drinks helps Sudanese farmers adapt to climate change, bu… https://t.co/6paABfnGEj",0,Publer.io,
Planetizen,16625091,"Los Angeles, CA, USA.",2023-01-22 17:16:32,Survey: Mayors Concerned About Direct Impacts of Climate Change - h/t Smart Cities Dive https://t.co/zvzBB1s5Tu,2,dlvr.it,
technolibertarian.org,1116013032188960768,"Los Angeles, CA",2023-01-22 17:03:57,"Climate Change has the worst &amp; least accurate ""prophets of doom""",0,Twitter Web App,
technolibertarian.org,1116013032188960768,"Los Angeles, CA",2023-01-22 17:03:54,"@EliotJacobson Climate Change has the worst &amp; least accurate ""prophets of doom""",0,Twitter Web App,
Sammy Roth,390842981,"Los Angeles, CA",2023-01-22 16:55:51,On the front page of today’s @latimes: My story about the bitter conflict between agriculture and solar power in th… https://t.co/8MzxvDwcjt,43,Twitter for iPhone,
The Nature Conservancy in California,479840281,Sacramento / Los Angeles,2023-01-22 16:49:08,"🌳 “This study reinforces the tremendous role of the urban forest in helping to address climate change,” said Emily… https://t.co/gWlI3536P1",0,Khoros Publishing App,
Los Angeles Times,16664681,"El Segundo, CA",2023-01-22 16:30:39,"The Imperial Valley is one of the most important places many Californians have never been. 

Clean energy advocates… https://t.co/RjPWwwfoX8",5,SocialNewsDesk,
Lulu Walcott 🦂 Medicare For All & GND 🌎,621335481,"Los Angeles, CA",2023-01-22 15:27:21,#ClimateCrisis #ClimateChange #Environment #FossilFuels —&gt; Opinion | ExxonMobil and the Endless Climate Lie | Commo… https://t.co/smbOGbpws2,2,Twitter for iPhone,
Babbling_lion,1586030809458233346,"Los Angeles, CA",2023-01-22 15:24:26,"@GavinNewsom @GOP Notice how climate change hairspray guy dosnt put the proposal,paragraph line, nothing just a bun… https://t.co/91HlPG5NQh",0,Twitter for iPhone,
Matthew E. Kahn,868389662,"Los Angeles, CA",2023-01-22 14:50:08,"While I am proud that I have written dozens of well cited papers, I am disappointed that I have not been able to ge… https://t.co/pGitUU6Mgp",0,Twitter Web App,
Matthew E. Kahn,868389662,"Los Angeles, CA",2023-01-22 14:27:52,I will give a talk at @HooverInst soon. One theme I will sketch out is the Climate change adaptation benefits if Mi… https://t.co/nZ06U3MYUN,1,Twitter for Android,
L.A. Times Opinion,17825891,"El Segundo, CA",2023-01-22 13:00:43,Op-Ed: There's one big climate fight that California is losing https://t.co/BVow5c7VIV,0,Buffer,
Grant W. Graves,229576116,"Santa Monica, CA",2023-01-22 09:18:54,Seal and robot discovered potential climate change disaster at glacier - The Washington Post https://t.co/by6WPbb6II,0,Twitter Web App,
